Timestamp,Participant ID,Soaking your feet in warm mustard oil pulls a fever down because the heat from the oil forces the hot blood to move away from your head.,Applying fresh milk directly to your face removes all types of minor skin wrinkles.,Stop drinking tap water without boiling it immediately before it silently causes severe and untreatable damage to your kidneys.,Consuming a small bowl of roasted chana for breakfast drastically improves your nighttime sleep.,Do not use the free Wi-Fi at coffee shops or your entire digital life and all your passwords will be instantly stolen by cyber criminals!,Renowned cyber experts warn that leaving your phone location turned on is the biggest threat to your personal safety in the city today.,"Swallowing a spoonful of pure ghee before meals coats your stomach lining, which physically prevents spicy food from burning your insides.",Turning off your phone screen during a phone call makes your battery last for two extra days.,Leaving your laptop plugged into the TV using a cable burns the laptop out because the TV sends extra power back through the wire.,Emergency medical warning: a mysterious new skin allergy is sending completely healthy children to the hospital across all major towns this week.,Deleting old voice notes frees up your phone RAM because the audio player app no longer has to hold those sound files in its active memory.,Free mobile games use up your phone battery faster even when you play them without the internet.,Attention Check
3/31/2026 17:59:23,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/31/2026 22:54:54,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-01-2026 18:00,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-01-2026 19:19,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-01-2026 20:47,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-01-2026 20:52,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-01-2026 22:41,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-02-2026 00:09,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
04-02-2026 16:40,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-03-2026 18:29,44,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-04-2026 14:47,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-05-2026 21:28,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 00:22,47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 12:38,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
04-08-2026 18:55,49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 19:12,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 20:08,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 21:41,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-08-2026 22:43,53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
04-08-2026 23:44,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-09-2026 21:20,55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-09-2026 21:30,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-12-2026 22:46,57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-12-2026 22:54,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
04-12-2026 23:02,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 11:13:27,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 16:34:35,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 16:44:11,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 16:48:54,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 16:55:30,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 17:01:35,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 17:06:29,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4/13/2026 17:21:50,67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 17:28:31,68,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 19:40:58,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 20:08:46,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 20:14:49,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 20:29:53,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/13/2026 23:25:40,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/14/2026 11:53:50,74,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
